system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
h9,0,ResNet10,u1,rawspec,40,0.0007705992699070445,0.16409565540793475,0.00012645199225227248
h9,0,ResNet10,u1,rawspec,41,0.0007571100348651756,0.13182021904216976,9.980241063495223e-05
h9,0,ResNet10,u1,rawspec,42,0.0006739801996253759,0.13542433709430354,9.12733217489529e-05
h9,0,ResNet10,u1,rawspec,43,0.0006329091087411086,0.07970235181208978,5.0444344449960024e-05
h9,0,ResNet10,u1,rawspec,44,0.0005121899969230876,0.1354391516528061,6.937057866831636e-05
h9,0,ResNet10,u1,rawspec,45,0.0004681302525678218,0.06621302198661565,3.099631870587312e-05
h9,0,ResNet10,u1,rawspec,46,0.0004173710335053579,0.049362659353601436,2.0602544150985556e-05
h9,0,ResNet10,u1,rawspec,47,0.00039420595892223915,0.07721752008334506,3.0439606550052302e-05
h9,0,ResNet10,u1,rawspec,48,0.00036574759631204627,0.08195288729185816,2.9974071537829166e-05
h9,0,ResNet10,u1,rawspec,49,0.00029505248020463443,0.02634354493898215,7.772728271628929e-06
h9,0,ResNet10,u1,rawspec,50,0.00026614005649888017,0.08963884601281985,2.3856487542346294e-05
h9,0,ResNet10,u1,rawspec,51,0.00025727989532415646,0.03233362605967576,8.318791928083798e-06
h9,0,ResNet10,u1,rawspec,52,0.00022501745246478002,0.2832049981865978,6.372606721724088e-05
h9,0,ResNet10,u1,rawspec,53,0.00019560198345190723,0.39525859357056936,7.731336487881463e-05
h9,0,ResNet10,u1,rawspec,54,0.00017706673837719842,0.12537022976417164,2.2198897673941833e-05
h9,0,ResNet10,u1,rawspec,55,0.00016028820333331098,0.05239504116778051,8.398307012358402e-06
h9,0,ResNet10,u1,rawspec,56,0.0001449078135391106,0.16110589668329828,2.3345503236634602e-05
h9,0,ResNet10,u1,rawspec,57,0.0001283255646683228,0.05564880370246398,7.141164158235343e-06
h9,0,ResNet10,u1,rawspec,58,0.0001244131359431363,0.12928130423494283,1.6084292478687906e-05
h9,0,ResNet10,u1,rawspec,59,0.00010911399848760526,0.0510660729357635,5.572023405080838e-06
h9,0,ResNet10,u1,rawspec,60,9.498470902964473e-05,0.008419660426154408,7.99738995706691e-07
h9,0,ResNet10,u1,rawspec,61,7.757113241158106e-05,0.03168891598424697,2.458145097793489e-06
h9,0,ResNet10,u1,rawspec,62,6.507897988206022e-05,0.07464608207676354,4.85789087374831e-06
h9,0,ResNet10,u1,rawspec,63,6.242232401678829e-05,0.057843428858825215,3.6107212584676298e-06
h9,0,ResNet10,u1,rawspec,64,4.2965220223665746e-05,0.020598372590163984,8.850136145855158e-07
h9,0,ResNet10,u2,frozen,1,16.63145186955068,1.0105842361974833,16.80748308444508
h9,0,ResNet10,u2,frozen,2,2.3738804906758104,0.603573410192636,1.432811143146967
h9,0,ResNet10,u2,frozen,3,1.2503186655004292,3.85099744726599,4.814973989111173
h9,0,ResNet10,u2,frozen,4,0.7447020623795334,1.29256510060439,0.9625758961798982
h9,0,ResNet10,u2,frozen,5,0.5210261305710147,1.4116256741173545,0.7354938628000653
h9,0,ResNet10,u2,frozen,6,0.28820205810116245,0.3258333030804576,0.09390582854568771
h9,0,ResNet10,u2,frozen,7,0.17214965035060398,1.4979538500739693,0.25787223153157485
h9,0,ResNet10,u2,frozen,8,0.12500974034146753,0.06144819015582748,0.007681622295833115
h9,0,ResNet10,u2,frozen,9,0.09418439845411733,0.7487939010389011,0.07052470313546076
h9,0,ResNet10,u2,frozen,10,0.06785755468281743,0.5690488271099605,0.03861426190280726
h9,0,ResNet10,u2,frozen,11,0.041391308034150504,2.494039861878259,0.10323157217245318
h9,0,ResNet10,u2,frozen,12,0.03960965477248172,0.24225265538934304,0.00959554404768886
h9,0,ResNet10,u2,frozen,13,0.03184222735565733,1.0857724685971404,0.03457341380158346
h9,0,ResNet10,u2,frozen,14,0.024822289635206437,1.6718099394633241,0.04149815053237557
h9,0,ResNet10,u2,frozen,15,0.01916521218665493,0.17608460808755802,0.003374698876802024
h9,0,ResNet10,u2,frozen,16,0.014656678021041246,0.5172974591957202,0.007581862300534393
h9,0,ResNet10,u2,frozen,17,0.013559216449554495,0.6215809360515486,0.00842815045283964
h9,0,ResNet10,u2,frozen,18,0.012024475822461874,0.35923616966888094,0.004319626636737271
h9,0,ResNet10,u2,frozen,19,0.008359795792139111,0.1848608339306713,0.0015453988216249529
h9,0,ResNet10,u2,frozen,20,0.006776764422068605,0.44286392749294196,0.0030011845076517393
h9,0,ResNet10,u2,frozen,21,0.006598995609997003,0.34485276923147146,0.0022756819102537898
h9,0,ResNet10,u2,frozen,22,0.005348402138303573,0.24549634106002555,0.0013130131554711438
h9,0,ResNet10,u2,frozen,23,0.004669280658614031,0.5755495792948575,0.002687402518674921
h9,0,ResNet10,u2,frozen,24,0.00432971193661082,0.05256162379014509,0.00022757668993183844
h9,0,ResNet10,u2,frozen,25,0.003729347520992379,0.07697278515369342,0.00028705826549680556
h9,0,ResNet10,u2,frozen,26,0.0034007568365850005,0.22784301317656422,0.0007748386847283271
h9,0,ResNet10,u2,frozen,27,0.0030154755839081598,0.4378724242497967,0.0013203936041919372
h9,0,ResNet10,u2,frozen,28,0.0028916244878304906,0.29634424903744866,0.0008569162873444239
h9,0,ResNet10,u2,frozen,29,0.002500155896488742,0.2141396158215225,0.0005353824231680134
h9,0,ResNet10,u2,frozen,30,0.0021356724794429184,0.272057294764413,0.0005810252772600468
h9,0,ResNet10,u2,frozen,31,0.0019809476631063535,0.18205265469093695,0.0003606367808723195
h9,0,ResNet10,u2,frozen,32,0.0017310933784105318,0.17701866488965215,0.00030643583864554974
h9,0,ResNet10,u2,frozen,33,0.001637033401458197,0.16775477006553222,0.0002746201618512159
h9,0,ResNet10,u2,frozen,34,0.001359989323444699,0.29512133387874045,0.00040136186319584535
h9,0,ResNet10,u2,frozen,35,0.0013017000619478661,0.16385732886792848,0.00021329309513799439
h9,0,ResNet10,u2,frozen,36,0.0012513006024908644,0.2612769922532084,0.00032693605782344054
h9,0,ResNet10,u2,frozen,37,0.0009812797880856545,0.22174061811554302,0.0002175895867544021
h9,0,ResNet10,u2,frozen,38,0.0008395337382292006,0.3593174832326229,0.000301659149909392
h9,0,ResNet10,u2,frozen,39,0.00082611939458892,0.06215609214773455,5.134835321509959e-05
h9,0,ResNet10,u2,frozen,40,0.0008105563942593101,0.10961909892613488,8.88524615675225e-05
